Category,Metric,Value,Unit,Source,Citation_URL
Formulary Manipulation,Conservative Biosimilar/Generic Formulary Reform Savings,10,billion dollars/year,FTC / IQVIA biosimilar gap analysis,—
Formulary Manipulation,Range for Formulary Reform Savings,5-15,billion dollars/year,IQVIA multiple estimates,—
Independent Pharmacy,Rural Independent Pharmacy Closures 2003-2018,16.1,% of rural independents closed,Knox et al. 2021 (JAMA Health Forum),https://consensus.app/papers/independent-pharmacies-gain-unanimous-victory-in-recent-knox-gagneja/ca78b78ff79052d9a459751f7c5b6b6e/
Independent Pharmacy,Reimbursements Below Dispensing Cost (reported),80,% of prescriptions for some pharmacies,Knox et al. 2021 (JAMA Health Forum),https://consensus.app/papers/independent-pharmacies-gain-unanimous-victory-in-recent-knox-gagneja/ca78b78ff79052d9a459751f7c5b6b6e/
Independent Pharmacy,States with PBM Reimbursement Reform Laws,40+,states,Knox et al. 2021; NCPA,https://consensus.app/papers/independent-pharmacies-gain-unanimous-victory-in-recent-knox-gagneja/ca78b78ff79052d9a459751f7c5b6b6e/
Self-Preferencing,Florida PBM Specialty Pharmacy Profit Share,28,% of prescription drug profit,Motheral & Fairman 2020 (JMCSP),https://consensus.app/papers/changes-in-pbm-business-practices-in-2019-true-innovation-motheral-fairman/502d36ad89ee51bdb7893b89721aa565/
Self-Preferencing,Florida PBM Specialty Pharmacy Claim Share,0.4,% of claims (generating 28% of profit),Motheral & Fairman 2020 (JMCSP),https://consensus.app/papers/changes-in-pbm-business-practices-in-2019-true-innovation-motheral-fairman/502d36ad89ee51bdb7893b89721aa565/
Insulin Case Study,Humalog (insulin lispro) List Price 1996,21,dollars/vial,KFF/published reporting,https://www.kff.org/health-costs/issue-brief/insulin-costs-and-out-of-pocket-spending/
Insulin Case Study,Humalog List Price Peak 2022,316,dollars/vial,KFF/published reporting,https://www.kff.org/health-costs/issue-brief/insulin-costs-and-out-of-pocket-spending/
Insulin Case Study,Humalog Price Increase 1996-2022,1405,%,Author calculation ($21→$316),—
Insulin Case Study,Americans with Diabetes Using Insulin,8.4,million,CDC National Diabetes Statistics Report 2022,https://www.cdc.gov/diabetes/data/statistics-report/index.html
Insulin Case Study,Annual Insulin Spending US Before IRA,33.5,billion dollars/year (2021),IQVIA Institute 2022,https://www.iqvia.com/insights/the-iqvia-institute/reports-and-publications/reports/global-use-of-medicines-2022
Insulin Case Study,Semglee Biosimilar Glargine List Price,98,dollars/vial,IQVIA / manufacturer list,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761143s000lbl.pdf
Insulin Case Study,Lantus Brand Glargine List Price at Peak,292,dollars/vial,KFF,https://www.kff.org/health-costs/issue-brief/insulin-costs-and-out-of-pocket-spending/
Insulin Case Study,Biosimilar Glargine Market Share (least restrictive states),20.6,% after interchangeable designation,Kwon et al. 2025 (JAMA Health Forum),https://consensus.app/papers/state-substitution-laws-and-uptake-of-an-interchangeable-kwon-sarpatwari/7de27af4aff055d78e41d524374cd720/
Vertical Integration,CVS Health Revenue 2023,358,billion dollars,CVS Health Annual Report 2023,https://investors.cvshealth.com/investors/financial-information/annual-reports
Vertical Integration,Cigna/Evernorth Revenue 2023,195,billion dollars,Cigna Annual Report 2023,https://investor.cigna.com
Vertical Integration,UnitedHealth Group Revenue 2023,372,billion dollars,UnitedHealth Annual Report 2023,https://ir.uhc.com
FTC Enforcement,FTC Lawsuit Filed Against Big 3 PBMs,Sept 2024,date,FTC press release September 2024,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-sues-pbms-drug-pricing
FTC Enforcement,FTC Investigation Duration,6,months minimum for interim reports,FTC Interim Report #1,https://www.ftc.gov/reports/pharmacy-benefit-managers-report
Legislative Status,IRA Part D Rebate Pass-Through (fully effective),2025,year,Inflation Reduction Act 2022 / CMS 2025 rule,https://www.cms.gov/inflation-reduction-act-and-medicare
Legislative Status,States Banning Spread Pricing in Medicaid,15+,states (Ohio Kentucky Arkansas WV others),NCPA tracker 2024,https://www.ncpanet.org/advocacy/state-advocacy
Academic Literature,Mattingly Hyman Bai 2023 — PBM Overview,25,citation count,JAMA Health Forum,https://consensus.app/papers/pharmacy-benefit-managers-history-business-practices-mattingly-hyman/ca57ce29a9ea51158baa0a640f9b48e9/
Academic Literature,Mattingly Ben-Umeh Bai Anderson 2023 — Spread Pricing Generics,4,citation count,JAMA Health Forum,https://consensus.app/papers/pharmacy-benefit-manager-pricing-and-spread-pricing-for-mattingly-ben-umeh/912e63c68e9d589cb45844c58d46d4dc/
Savings Model,Mechanism 1 Spread Pricing Reform,3,billion dollars/year,Conservative extrapolation from Ohio audit,—
Savings Model,Mechanism 2 Rebate Pass-Through Mandate,10,billion dollars/year,Conservative (5% of $233B PBM-administered rebates),—
Savings Model,Mechanism 3 Specialty Drug Markup Cap,1.5,billion dollars/year,FTC documented $7.3B/5yr ongoing,—
Savings Model,Mechanism 4 Formulary Reform Biosimilar Preference,10,billion dollars/year,IQVIA/FTC (range $5-15B booked conservatively),—
Savings Model,Mechanism 5 Administrative Transparency,5.5,billion dollars/year,Residual administrative savings,—
Savings Model,TOTAL PBM Reform Savings,30,billion dollars/year (conservative),Author's model,—
Savings Model,Range for PBM Reform Savings,30-50,billion dollars/year,ROADMAP range,—
Savings Tracker,Issue 1 OTC Drug Savings,0.6,billion dollars/year,Published Issue #1,—
Savings Tracker,Issue 2 Drug Reference Pricing Savings,25.0,billion dollars/year,Published Issue #2,—
Savings Tracker,Issue 3 Hospital Reference Pricing Savings,75.0,billion dollars/year,Published Issue #3,—
Savings Tracker,Issue 4 PBM Reform Savings,30.0,billion dollars/year,This issue,—
Savings Tracker,Running Total After Issue 4,130.6,billion dollars/year,Cumulative tracker,—
Savings Tracker,Running Total as % of 3T Gap,4.4,%,130.6/2940,—
New Data Analysis — Biosimilar Adoption,Adalimumab (Humira) biosimilar claims share in Medicare Part D 2023,1.1,% of Part D claims,"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Adalimumab (Humira) biosimilar spending share in Medicare Part D 2023,0.3,% of Part D spending,"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Adalimumab average cost per claim (brand) 2023,9148,USD/claim,"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Adalimumab average cost per claim (biosimilar) 2023,2703,USD/claim,"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Adalimumab brand-to-biosimilar price ratio in Part D 2023,3.4,ratio (brand/biosim),"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Insulin glargine (Lantus) biosimilar claims share in Medicare Part D 2023,1.6,% of Part D claims,"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Insulin glargine average cost per claim (Lantus brand) 2023,643,USD/claim,"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Insulin glargine average cost per claim (Semglee biosimilar) 2023,268,USD/claim,"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Etanercept (Enbrel) biosimilar claims share in Medicare Part D 2023,0,% of Part D claims (zero penetration),"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Filgrastim/pegfilgrastim biosimilar claims share in Medicare Part D 2023,76,% of Part D claims (counter-example),"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Gross excess spend from brand lock-in (adalimumab + insulin glargine; Part D only),7.8,billion dollars/year,"CMS Medicare Part D Spending by Drug DY2023 (data.cms.gov, released May 2025; author analysis)",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,Net excess spend (post-30% rebate adj; adalimumab + insulin glargine; Part D only),5.5,billion dollars/year,"Author analysis of CMS Part D DY2023 data; 30% rebate adjustment applied",https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug/medicare-part-d-spending-by-drug
New Data Analysis — Biosimilar Adoption,EU adalimumab biosimilar market share within 2 years of launch,80,% of market (2018-2020 EU average),"IQVIA Institute; multiple country health technology assessment reports",https://www.iqvia.com/insights/the-iqvia-institute/reports-and-publications/reports/the-use-of-medicines-in-europe-2023
New Data Analysis — Biosimilar Adoption,FDA-approved biosimilars through 2024,100+,count of FDA-approved biosimilar products,FDA Biosimilar Product Information (fda.gov),https://www.fda.gov/drugs/biosimilars/biosimilar-product-information
